"algorithm_run","M","ESS","MarLik","Exact_MarLik","Ratio"
1,6,0.887831592239944,7.80213573197084e-22,1.0332716969915e-21,0.755090433105615
2,2,0.819726611609878,4.46993939930599e-21,5.91641935212157e-21,0.755514295602307
3,3,0.754042686968702,2.53681454896614e-16,2.74009242709722e-16,0.925813495880345
4,6,0.895500986062715,7.8869451335143e-23,1.04378931239078e-22,0.755607002283766
5,2,0.785883480004449,3.033852386037e-22,3.27926284719909e-22,0.925162918437081
6,2,0.759316062628892,4.17114444418189e-20,4.50529207303328e-20,0.925832193910034
7,1,0.644113566623199,4.53340104416277e-17,4.24655310196174e-17,1.0675484175786
8,3,0.865640365959235,5.09094368933337e-21,6.73451740368317e-21,0.755947810981837
9,1,0.701070099220735,8.11030170046912e-17,8.76000045879764e-17,0.925833478961063
10,1,0.757401035998267,1.52973308375494e-21,1.6521894517482e-21,0.925882369080806
11,1,0.642541678965294,4.59283769666839e-17,4.29514500227682e-17,1.0693091139493
12,3,0.769189058431648,1.82746799395738e-18,1.97639574434329e-18,0.92464679666906
13,1,0.644204601281719,3.65113867286306e-17,3.41344248129794e-17,1.06963532939765
14,2,0.703675902366583,8.3412083690798e-18,7.81161345832692e-18,1.06779584186777
15,1,0.58757908720117,4.57218805717734e-18,3.82270383399405e-18,1.19606128429788
