"algorithm_run","M","ESS","MarLik","Exact_MarLik","Ratio"
1,4,0.863436935425749,6.93601191594684e-24,1.0332716969915e-21,0.00671266999390569
2,5,0.870887283076559,5.37532517695954e-23,5.91641935212157e-21,0.00908543640509864
3,1,0.717446469798811,3.9449874054755e-17,2.74009242709722e-16,0.143972785971118
4,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA
