"algorithm_run","M","ESS","MarLik","Exact_MarLik","Ratio"
1,6,0.909699255065851,1.03345985832839e-21,1.0332716969915e-21,1.0001821024784
2,2,0.823538688759613,5.91514288047711e-21,5.91641935212157e-21,0.999784249295309
3,2,0.74062694294834,2.74137395860457e-16,2.74009242709722e-16,1.00046769645238
4,5,0.907776801965242,1.04392176803942e-22,1.04378931239078e-22,1.00012689883587
5,2,0.768574425399716,3.28358646842328e-22,3.27926284719909e-22,1.00131847351849
6,2,0.758099958017196,4.50033774579293e-20,4.50529207303328e-20,0.998900331618897
7,1,0.644785190326205,4.24664554938252e-17,4.24655310196174e-17,1.00002176999052
8,3,0.866519502104572,6.73335948215676e-21,6.73451740368317e-21,0.999828061692175
9,2,0.731706139171004,8.7510916914544e-17,8.76000045879764e-17,0.998983017479835
10,3,0.823759907669976,1.65291131194145e-21,1.6521894517482e-21,1.00043691127097
11,1,0.645810091929729,4.28733745878866e-17,4.29514500227682e-17,0.998182239834972
12,3,0.782876480617461,1.97709258452012e-18,1.97639574434329e-18,1.00035258129796
13,2,0.718324083014909,3.41043702687473e-17,3.41344248129794e-17,0.999119523929383
14,2,0.684053539631435,7.79711659443263e-18,7.81161345832692e-18,0.998144190829254
15,1,0.584985550319483,3.82466511323063e-18,3.82270383399405e-18,1.00051306073443
